ReviewId,SentenceId,TurkerId,Text,Label1,Label2
r102,s9,t10,"Compared with 2bits or ternary network, the proposed method at most achieving (1.4/2) compression ratio and (2/1.4) speedup (based on their Table 1).",non_actionable,other
r1,s0,t20,"A decent paper with some issues This paper proposes a new output layer in neural networks, which allows them to use logged contextual bandit feedback for training.",non_actionable,agreement
r1,s1,t20,"Others: - The baseline in REINFORCE (Williams'92), which is equivalent to introduced Lagrange multiplier, is well known and well defined as control variate in Monte Carlo simulation, certainly not an ""ad-hoc heuristic"" as claimed in the paper [see Greensmith et al. (2004). Variance Reduction for Gradient Estimates in Reinforcement Learning, JMLR 5.] - Bandit to supervised conversion: please add a supervised baseline system trained just on instances with top feedbacks -- this should be a much more interesting and relevant strong baseline.",actionable,suggestion
r1,s2,t20,There are multiple indications that this bandit-to-supervised baseline is hard to outperform in a number of important applications.,non_actionable,fact
r1,s3,t20,"The control variate of the SNIPS objective can be seen as defining a probability distribution over the log, thus ensuring that for each sample that sample’s delta is multiplied by a value in [0,1] and not by a large importance sampling ratio.",non_actionable,fact
r1,s4,t20,1. IPS for losses<0 and risk minimization: raise the probability of every sample in the log irrespective of the loss itself,actionable,suggestion
r1,s5,t20,- What is the feedback in the CIFAR-10 experiments?,actionable,question
r1,s6,t20,- The claim of Theorem 2 in appendix B does not follow from its proof: what is proven is that the value of S(w) lies in an interval [1-e..1+e] with a certain probability for all w.,non_actionable,fact
r1,s7,t20,"Actually, the proof never makes any connection to optimization.",actionable,shortcoming
r1,s8,t20,"This would contradict some previously established convergence results for this type of problems: Reddi et al. (2016) Stochastic Variance Reduction for Nonconvex Optimization, ICML and Wang et al. 2013.",actionable,shortcoming
r1,s9,t20,"Variance Reduction for Stochastic Gradient Optimization, NIPS.",non_actionable,fact
r1,s0,t31,"A decent paper with some issues This paper proposes a new output layer in neural networks, which allows them to use logged contextual bandit feedback for training.",non_actionable,agreement
r1,s1,t31,"Others: - The baseline in REINFORCE (Williams'92), which is equivalent to introduced Lagrange multiplier, is well known and well defined as control variate in Monte Carlo simulation, certainly not an ""ad-hoc heuristic"" as claimed in the paper [see Greensmith et al. (2004). Variance Reduction for Gradient Estimates in Reinforcement Learning, JMLR 5.] - Bandit to supervised conversion: please add a supervised baseline system trained just on instances with top feedbacks -- this should be a much more interesting and relevant strong baseline.",actionable,shortcoming
r1,s2,t31,There are multiple indications that this bandit-to-supervised baseline is hard to outperform in a number of important applications.,non_actionable,fact
r1,s3,t31,"The control variate of the SNIPS objective can be seen as defining a probability distribution over the log, thus ensuring that for each sample that sample’s delta is multiplied by a value in [0,1] and not by a large importance sampling ratio.",non_actionable,fact
r1,s4,t31,1. IPS for losses<0 and risk minimization: raise the probability of every sample in the log irrespective of the loss itself,non_actionable,fact
r1,s5,t31,- What is the feedback in the CIFAR-10 experiments?,non_actionable,question
r1,s6,t31,- The claim of Theorem 2 in appendix B does not follow from its proof: what is proven is that the value of S(w) lies in an interval [1-e..1+e] with a certain probability for all w.,actionable,shortcoming
r1,s7,t31,"Actually, the proof never makes any connection to optimization.",actionable,shortcoming
r1,s8,t31,"This would contradict some previously established convergence results for this type of problems: Reddi et al. (2016) Stochastic Variance Reduction for Nonconvex Optimization, ICML and Wang et al. 2013.",non_actionable,fact
r1,s9,t31,"Variance Reduction for Stochastic Gradient Optimization, NIPS.",non_actionable,fact
r1,s0,t8,"A decent paper with some issues This paper proposes a new output layer in neural networks, which allows them to use logged contextual bandit feedback for training.",actionable,shortcoming
r1,s1,t8,"Others: - The baseline in REINFORCE (Williams'92), which is equivalent to introduced Lagrange multiplier, is well known and well defined as control variate in Monte Carlo simulation, certainly not an ""ad-hoc heuristic"" as claimed in the paper [see Greensmith et al. (2004). Variance Reduction for Gradient Estimates in Reinforcement Learning, JMLR 5.] - Bandit to supervised conversion: please add a supervised baseline system trained just on instances with top feedbacks -- this should be a much more interesting and relevant strong baseline.",actionable,suggestion
r1,s2,t8,There are multiple indications that this bandit-to-supervised baseline is hard to outperform in a number of important applications.,non_actionable,agreement
r1,s3,t8,"The control variate of the SNIPS objective can be seen as defining a probability distribution over the log, thus ensuring that for each sample that sample’s delta is multiplied by a value in [0,1] and not by a large importance sampling ratio.",non_actionable,fact
r1,s4,t8,1. IPS for losses<0 and risk minimization: raise the probability of every sample in the log irrespective of the loss itself,non_actionable,fact
r1,s5,t8,- What is the feedback in the CIFAR-10 experiments?,non_actionable,question
r1,s6,t8,- The claim of Theorem 2 in appendix B does not follow from its proof: what is proven is that the value of S(w) lies in an interval [1-e..1+e] with a certain probability for all w.,actionable,shortcoming
r1,s7,t8,"Actually, the proof never makes any connection to optimization.",actionable,shortcoming
r1,s8,t8,"This would contradict some previously established convergence results for this type of problems: Reddi et al. (2016) Stochastic Variance Reduction for Nonconvex Optimization, ICML and Wang et al. 2013.",non_actionable,fact
r1,s9,t8,"Variance Reduction for Stochastic Gradient Optimization, NIPS.",non_actionable,other
r1,s0,t16,"A decent paper with some issues This paper proposes a new output layer in neural networks, which allows them to use logged contextual bandit feedback for training.",non_actionable,agreement
r1,s1,t16,"Others: - The baseline in REINFORCE (Williams'92), which is equivalent to introduced Lagrange multiplier, is well known and well defined as control variate in Monte Carlo simulation, certainly not an ""ad-hoc heuristic"" as claimed in the paper [see Greensmith et al. (2004). Variance Reduction for Gradient Estimates in Reinforcement Learning, JMLR 5.] - Bandit to supervised conversion: please add a supervised baseline system trained just on instances with top feedbacks -- this should be a much more interesting and relevant strong baseline.",actionable,suggestion
r1,s2,t16,There are multiple indications that this bandit-to-supervised baseline is hard to outperform in a number of important applications.,non_actionable,fact
r1,s3,t16,"The control variate of the SNIPS objective can be seen as defining a probability distribution over the log, thus ensuring that for each sample that sample’s delta is multiplied by a value in [0,1] and not by a large importance sampling ratio.",non_actionable,fact
r1,s4,t16,1. IPS for losses<0 and risk minimization: raise the probability of every sample in the log irrespective of the loss itself,actionable,suggestion
r1,s5,t16,- What is the feedback in the CIFAR-10 experiments?,actionable,question
r1,s6,t16,- The claim of Theorem 2 in appendix B does not follow from its proof: what is proven is that the value of S(w) lies in an interval [1-e..1+e] with a certain probability for all w.,actionable,shortcoming
r1,s7,t16,"Actually, the proof never makes any connection to optimization.",actionable,shortcoming
r1,s8,t16,"This would contradict some previously established convergence results for this type of problems: Reddi et al. (2016) Stochastic Variance Reduction for Nonconvex Optimization, ICML and Wang et al. 2013.",actionable,disagreement
r1,s9,t16,"Variance Reduction for Stochastic Gradient Optimization, NIPS.",non_actionable,fact
r1,s0,t2,"A decent paper with some issues This paper proposes a new output layer in neural networks, which allows them to use logged contextual bandit feedback for training.",non_actionable,fact
r1,s1,t2,"Others: - The baseline in REINFORCE (Williams'92), which is equivalent to introduced Lagrange multiplier, is well known and well defined as control variate in Monte Carlo simulation, certainly not an ""ad-hoc heuristic"" as claimed in the paper [see Greensmith et al. (2004). Variance Reduction for Gradient Estimates in Reinforcement Learning, JMLR 5.] - Bandit to supervised conversion: please add a supervised baseline system trained just on instances with top feedbacks -- this should be a much more interesting and relevant strong baseline.",actionable,suggestion
r1,s2,t2,There are multiple indications that this bandit-to-supervised baseline is hard to outperform in a number of important applications.,non_actionable,fact
r1,s3,t2,"The control variate of the SNIPS objective can be seen as defining a probability distribution over the log, thus ensuring that for each sample that sample’s delta is multiplied by a value in [0,1] and not by a large importance sampling ratio.",non_actionable,fact
r1,s4,t2,1. IPS for losses<0 and risk minimization: raise the probability of every sample in the log irrespective of the loss itself,non_actionable,other
r1,s5,t2,- What is the feedback in the CIFAR-10 experiments?,actionable,question
r1,s6,t2,- The claim of Theorem 2 in appendix B does not follow from its proof: what is proven is that the value of S(w) lies in an interval [1-e..1+e] with a certain probability for all w.,non_actionable,disagreement
r1,s7,t2,"Actually, the proof never makes any connection to optimization.",non_actionable,shortcoming
r1,s8,t2,"This would contradict some previously established convergence results for this type of problems: Reddi et al. (2016) Stochastic Variance Reduction for Nonconvex Optimization, ICML and Wang et al. 2013.",non_actionable,shortcoming
r1,s9,t2,"Variance Reduction for Stochastic Gradient Optimization, NIPS.",non_actionable,other
r89,s0,t10,A full implementation of binary CNN with code This paper builds on Binary-NET [Hubara et al. 2016] and expands it to CNN architectures.,non_actionable,other
r89,s1,t10,"It also provides optimizations that substantially improve the speed of the forward pass: packing layer bits along the channel dimension, pre-allocation of CUDA resources and binary-optimized CUDA kernels for matrix multiplications.",actionable,agreement
r89,s2,t10,The authors compare their framework to BinaryNET and Nervana/Neon and show a 8x speedup for 8092 matrix-matrix multiplication and a 68x speedup for MLP networks.,non_actionable,other
r89,s3,t10,"For CNN, they a speedup of 5x is obtained from the GPU to binary-optimizimed-GPU.",non_actionable,other
r89,s4,t10,A gain in memory size of 32x is also achieved by using binary weight and activation during the forward pass.,non_actionable,other
r89,s5,t10,The main contribution of this paper is an optimized code for Binary CNN.,actionable,agreement
r89,s6,t10,The authors provide the code with permissive licensing.,non_actionable,other
r89,s7,t10,"As is often the case with such comparisons, it is hard to disentangle from where exactly come the speedups.",actionable,shortcoming
r89,s8,t10,"Overall, i think it makes a good contribution to a field that is gaining importance for mobile and embedded applications of deep convnets.",actionable,agreement
r89,s9,t10,I think it is a good fit for a poster.,actionable,agreement
r89,s0,t9,A full implementation of binary CNN with code This paper builds on Binary-NET [Hubara et al. 2016] and expands it to CNN architectures.,non_actionable,agreement
r89,s1,t9,"It also provides optimizations that substantially improve the speed of the forward pass: packing layer bits along the channel dimension, pre-allocation of CUDA resources and binary-optimized CUDA kernels for matrix multiplications.",non_actionable,agreement
r89,s2,t9,The authors compare their framework to BinaryNET and Nervana/Neon and show a 8x speedup for 8092 matrix-matrix multiplication and a 68x speedup for MLP networks.,non_actionable,fact
r89,s3,t9,"For CNN, they a speedup of 5x is obtained from the GPU to binary-optimizimed-GPU.",non_actionable,fact
r89,s4,t9,A gain in memory size of 32x is also achieved by using binary weight and activation during the forward pass.,non_actionable,fact
r89,s5,t9,The main contribution of this paper is an optimized code for Binary CNN.,non_actionable,agreement
r89,s6,t9,The authors provide the code with permissive licensing.,non_actionable,fact
r89,s7,t9,"As is often the case with such comparisons, it is hard to disentangle from where exactly come the speedups.",non_actionable,fact
r89,s8,t9,"Overall, i think it makes a good contribution to a field that is gaining importance for mobile and embedded applications of deep convnets.",non_actionable,agreement
r89,s9,t9,I think it is a good fit for a poster.,non_actionable,agreement
r89,s0,t31,A full implementation of binary CNN with code This paper builds on Binary-NET [Hubara et al. 2016] and expands it to CNN architectures.,non_actionable,fact
r89,s1,t31,"It also provides optimizations that substantially improve the speed of the forward pass: packing layer bits along the channel dimension, pre-allocation of CUDA resources and binary-optimized CUDA kernels for matrix multiplications.",non_actionable,fact
r89,s2,t31,The authors compare their framework to BinaryNET and Nervana/Neon and show a 8x speedup for 8092 matrix-matrix multiplication and a 68x speedup for MLP networks.,non_actionable,fact
r89,s3,t31,"For CNN, they a speedup of 5x is obtained from the GPU to binary-optimizimed-GPU.",non_actionable,fact
r89,s4,t31,A gain in memory size of 32x is also achieved by using binary weight and activation during the forward pass.,non_actionable,fact
r89,s5,t31,The main contribution of this paper is an optimized code for Binary CNN.,non_actionable,fact
r89,s6,t31,The authors provide the code with permissive licensing.,non_actionable,fact
r89,s7,t31,"As is often the case with such comparisons, it is hard to disentangle from where exactly come the speedups.",non_actionable,fact
r89,s8,t31,"Overall, i think it makes a good contribution to a field that is gaining importance for mobile and embedded applications of deep convnets.",non_actionable,agreement
r89,s9,t31,I think it is a good fit for a poster.,non_actionable,agreement
r89,s0,t16,A full implementation of binary CNN with code This paper builds on Binary-NET [Hubara et al. 2016] and expands it to CNN architectures.,non_actionable,fact
r89,s1,t16,"It also provides optimizations that substantially improve the speed of the forward pass: packing layer bits along the channel dimension, pre-allocation of CUDA resources and binary-optimized CUDA kernels for matrix multiplications.",non_actionable,fact
r89,s2,t16,The authors compare their framework to BinaryNET and Nervana/Neon and show a 8x speedup for 8092 matrix-matrix multiplication and a 68x speedup for MLP networks.,non_actionable,fact
r89,s3,t16,"For CNN, they a speedup of 5x is obtained from the GPU to binary-optimizimed-GPU.",non_actionable,fact
r89,s4,t16,A gain in memory size of 32x is also achieved by using binary weight and activation during the forward pass.,non_actionable,fact
r89,s5,t16,The main contribution of this paper is an optimized code for Binary CNN.,non_actionable,fact
r89,s6,t16,The authors provide the code with permissive licensing.,non_actionable,fact
r89,s7,t16,"As is often the case with such comparisons, it is hard to disentangle from where exactly come the speedups.",actionable,shortcoming
r89,s8,t16,"Overall, i think it makes a good contribution to a field that is gaining importance for mobile and embedded applications of deep convnets.",non_actionable,agreement
r89,s9,t16,I think it is a good fit for a poster.,non_actionable,agreement
r89,s0,t20,A full implementation of binary CNN with code This paper builds on Binary-NET [Hubara et al. 2016] and expands it to CNN architectures.,non_actionable,fact
r89,s1,t20,"It also provides optimizations that substantially improve the speed of the forward pass: packing layer bits along the channel dimension, pre-allocation of CUDA resources and binary-optimized CUDA kernels for matrix multiplications.",non_actionable,fact
r89,s2,t20,The authors compare their framework to BinaryNET and Nervana/Neon and show a 8x speedup for 8092 matrix-matrix multiplication and a 68x speedup for MLP networks.,non_actionable,fact
r89,s3,t20,"For CNN, they a speedup of 5x is obtained from the GPU to binary-optimizimed-GPU.",non_actionable,fact
r89,s4,t20,A gain in memory size of 32x is also achieved by using binary weight and activation during the forward pass.,non_actionable,fact
r89,s5,t20,The main contribution of this paper is an optimized code for Binary CNN.,non_actionable,fact
r89,s6,t20,The authors provide the code with permissive licensing.,non_actionable,fact
r89,s7,t20,"As is often the case with such comparisons, it is hard to disentangle from where exactly come the speedups.",non_actionable,fact
r89,s8,t20,"Overall, i think it makes a good contribution to a field that is gaining importance for mobile and embedded applications of deep convnets.",non_actionable,agreement
r89,s9,t20,I think it is a good fit for a poster.,non_actionable,agreement
r39,s0,t10,"A good approach with some open questions on related work, scalability, and robustness The authors propose an approach for zero-shot visual learning.",actionable,agreement
r39,s1,t10,The robot then uses the learned parametric skill functions to reach goal states (images) provided by the demonstrator.,non_actionable,other
r39,s2,t10,"These topics seem sufficiently related to the proposed approach that the authors should include them in their related work section, and explain the similarities and differences.",actionable,agreement
r39,s3,t10,How much can change between the goal images and the environment before the system fails?,actionable,question
r39,s4,t10,"In the videos, it seems that the people and chairs are always in the same place.",non_actionable,other
r39,s5,t10,I could imagine a network learning to ignore features of objects that tend to wander over time.,actionable,suggestion
r39,s6,t10,The authors should consider exploring and discussing the effects of adding/moving/removing objects on the performance.,actionable,suggestion
r39,s7,t10,The evaluation with the sequence of checkpoints was created by using every fifth image.,non_actionable,other
r39,s8,t10,"In the videos, it seems like the robot could get a slightly better view if it took another couple of steps.",actionable,suggestion
r39,s9,t10,I assume this is an artifact of the way the goal recognizer is trained.,actionable,fact
r39,s0,t31,"A good approach with some open questions on related work, scalability, and robustness The authors propose an approach for zero-shot visual learning.",non_actionable,agreement
r39,s1,t31,The robot then uses the learned parametric skill functions to reach goal states (images) provided by the demonstrator.,non_actionable,fact
r39,s2,t31,"These topics seem sufficiently related to the proposed approach that the authors should include them in their related work section, and explain the similarities and differences.",actionable,suggestion
r39,s3,t31,How much can change between the goal images and the environment before the system fails?,non_actionable,question
r39,s4,t31,"In the videos, it seems that the people and chairs are always in the same place.",non_actionable,fact
r39,s5,t31,I could imagine a network learning to ignore features of objects that tend to wander over time.,non_actionable,fact
r39,s6,t31,The authors should consider exploring and discussing the effects of adding/moving/removing objects on the performance.,actionable,suggestion
r39,s7,t31,The evaluation with the sequence of checkpoints was created by using every fifth image.,non_actionable,fact
r39,s8,t31,"In the videos, it seems like the robot could get a slightly better view if it took another couple of steps.",actionable,suggestion
r39,s9,t31,I assume this is an artifact of the way the goal recognizer is trained.,non_actionable,fact
r39,s0,t2,"A good approach with some open questions on related work, scalability, and robustness The authors propose an approach for zero-shot visual learning.",non_actionable,fact
r39,s1,t2,The robot then uses the learned parametric skill functions to reach goal states (images) provided by the demonstrator.,non_actionable,fact
r39,s2,t2,"These topics seem sufficiently related to the proposed approach that the authors should include them in their related work section, and explain the similarities and differences.",actionable,suggestion
r39,s3,t2,How much can change between the goal images and the environment before the system fails?,actionable,question
r39,s4,t2,"In the videos, it seems that the people and chairs are always in the same place.",non_actionable,fact
r39,s5,t2,I could imagine a network learning to ignore features of objects that tend to wander over time.,non_actionable,fact
r39,s6,t2,The authors should consider exploring and discussing the effects of adding/moving/removing objects on the performance.,actionable,suggestion
r39,s7,t2,The evaluation with the sequence of checkpoints was created by using every fifth image.,non_actionable,fact
r39,s8,t2,"In the videos, it seems like the robot could get a slightly better view if it took another couple of steps.",non_actionable,fact
r39,s9,t2,I assume this is an artifact of the way the goal recognizer is trained.,actionable,shortcoming
r39,s0,t16,"A good approach with some open questions on related work, scalability, and robustness The authors propose an approach for zero-shot visual learning.",non_actionable,agreement
r39,s1,t16,The robot then uses the learned parametric skill functions to reach goal states (images) provided by the demonstrator.,non_actionable,fact
r39,s2,t16,"These topics seem sufficiently related to the proposed approach that the authors should include them in their related work section, and explain the similarities and differences.",non_actionable,agreement
r39,s3,t16,How much can change between the goal images and the environment before the system fails?,non_actionable,question
r39,s4,t16,"In the videos, it seems that the people and chairs are always in the same place.",non_actionable,fact
r39,s5,t16,I could imagine a network learning to ignore features of objects that tend to wander over time.,non_actionable,fact
r39,s6,t16,The authors should consider exploring and discussing the effects of adding/moving/removing objects on the performance.,actionable,suggestion
r39,s7,t16,The evaluation with the sequence of checkpoints was created by using every fifth image.,non_actionable,fact
r39,s8,t16,"In the videos, it seems like the robot could get a slightly better view if it took another couple of steps.",actionable,suggestion
r39,s9,t16,I assume this is an artifact of the way the goal recognizer is trained.,non_actionable,fact
r39,s0,t20,"A good approach with some open questions on related work, scalability, and robustness The authors propose an approach for zero-shot visual learning.",non_actionable,fact
r39,s1,t20,The robot then uses the learned parametric skill functions to reach goal states (images) provided by the demonstrator.,non_actionable,fact
r39,s2,t20,"These topics seem sufficiently related to the proposed approach that the authors should include them in their related work section, and explain the similarities and differences.",non_actionable,agreement
r39,s3,t20,How much can change between the goal images and the environment before the system fails?,actionable,question
r39,s4,t20,"In the videos, it seems that the people and chairs are always in the same place.",non_actionable,shortcoming
r39,s5,t20,I could imagine a network learning to ignore features of objects that tend to wander over time.,actionable,suggestion
r39,s6,t20,The authors should consider exploring and discussing the effects of adding/moving/removing objects on the performance.,actionable,suggestion
r39,s7,t20,The evaluation with the sequence of checkpoints was created by using every fifth image.,non_actionable,fact
r39,s8,t20,"In the videos, it seems like the robot could get a slightly better view if it took another couple of steps.",actionable,suggestion
r39,s9,t20,I assume this is an artifact of the way the goal recognizer is trained.,non_actionable,fact
r90,s0,t2,"A good paper, but it could be better for writing and baseline comparisons This paper studies the problem of text-to-speech synthesis (TTS) ""in the wild"" and proposes to use the shifting buffer memory.",non_actionable,fact
r90,s1,t2,"Specifically, an input text is transformed to phoneme encoding and then context vector is created with attention mechanism.",non_actionable,fact
r90,s2,t2,A novel speaker can be adapted just by fitting it with SGD while fixing all other components.,non_actionable,fact
r90,s3,t2,"In experiments, authors try single-speaker TTS and multi-speaker TTS along with speaker identification (ID), and show that the proposed approach outperforms baselines, namely, Tacotron and Char2wav.",non_actionable,fact
r90,s4,t2,"Finally, they use the challenging Youtube data to train the model and show promising results.",non_actionable,agreement
r90,s5,t2,"3. The proposed approach outperforms baselines in several tasks, and the ability to fit to a novel speaker is nice.",non_actionable,agreement
r90,s6,t2,But there are some issues as well (see Cons.) Cons:,non_actionable,shortcoming
r90,s7,t2,Some notations were not clearly described in the text even though it was in the table.,actionable,shortcoming
r90,s8,t2,"The paper says Deep Voice 2 (Arik et al., 2017a) is only prior work for multi-speaker TTS.",non_actionable,fact
r90,s9,t2,"3. Why do you think your model is better than VCTK test split, and even VCTK85 is better than VCTK101?",actionable,question
r90,s0,t20,"A good paper, but it could be better for writing and baseline comparisons This paper studies the problem of text-to-speech synthesis (TTS) ""in the wild"" and proposes to use the shifting buffer memory.",non_actionable,agreement
r90,s1,t20,"Specifically, an input text is transformed to phoneme encoding and then context vector is created with attention mechanism.",non_actionable,fact
r90,s2,t20,A novel speaker can be adapted just by fitting it with SGD while fixing all other components.,actionable,suggestion
r90,s3,t20,"In experiments, authors try single-speaker TTS and multi-speaker TTS along with speaker identification (ID), and show that the proposed approach outperforms baselines, namely, Tacotron and Char2wav.",non_actionable,fact
r90,s4,t20,"Finally, they use the challenging Youtube data to train the model and show promising results.",non_actionable,fact
r90,s5,t20,"3. The proposed approach outperforms baselines in several tasks, and the ability to fit to a novel speaker is nice.",non_actionable,agreement
r90,s6,t20,But there are some issues as well (see Cons.) Cons:,non_actionable,shortcoming
r90,s7,t20,Some notations were not clearly described in the text even though it was in the table.,actionable,shortcoming
r90,s8,t20,"The paper says Deep Voice 2 (Arik et al., 2017a) is only prior work for multi-speaker TTS.",non_actionable,fact
r90,s9,t20,"3. Why do you think your model is better than VCTK test split, and even VCTK85 is better than VCTK101?",actionable,question
r90,s0,t31,"A good paper, but it could be better for writing and baseline comparisons This paper studies the problem of text-to-speech synthesis (TTS) ""in the wild"" and proposes to use the shifting buffer memory.",actionable,shortcoming
r90,s1,t31,"Specifically, an input text is transformed to phoneme encoding and then context vector is created with attention mechanism.",non_actionable,fact
r90,s2,t31,A novel speaker can be adapted just by fitting it with SGD while fixing all other components.,non_actionable,fact
r90,s3,t31,"In experiments, authors try single-speaker TTS and multi-speaker TTS along with speaker identification (ID), and show that the proposed approach outperforms baselines, namely, Tacotron and Char2wav.",non_actionable,fact
r90,s4,t31,"Finally, they use the challenging Youtube data to train the model and show promising results.",non_actionable,fact
r90,s5,t31,"3. The proposed approach outperforms baselines in several tasks, and the ability to fit to a novel speaker is nice.",non_actionable,agreement
r90,s6,t31,But there are some issues as well (see Cons.) Cons:,actionable,shortcoming
r90,s7,t31,Some notations were not clearly described in the text even though it was in the table.,actionable,shortcoming
r90,s8,t31,"The paper says Deep Voice 2 (Arik et al., 2017a) is only prior work for multi-speaker TTS.",non_actionable,fact
r90,s9,t31,"3. Why do you think your model is better than VCTK test split, and even VCTK85 is better than VCTK101?",non_actionable,question
r90,s0,t10,"A good paper, but it could be better for writing and baseline comparisons This paper studies the problem of text-to-speech synthesis (TTS) ""in the wild"" and proposes to use the shifting buffer memory.",actionable,suggestion
r90,s1,t10,"Specifically, an input text is transformed to phoneme encoding and then context vector is created with attention mechanism.",non_actionable,other
r90,s2,t10,A novel speaker can be adapted just by fitting it with SGD while fixing all other components.,non_actionable,other
