ReviewId,SentenceId,Text,Label1,Label2
r10,s3,"Also, the anomaly detection in the evaluation step is based on a threshold which depends on the percentage of known anomalies, i.e., a priori information.",non_actionable,fact
r10,s4,"Better yet it would be to use methods like Local Outlier Factor (LOF) (Breunig et al., 2000 – LOF:Identifying Density-based local outliers) to detect the outliers (these methods also have parameters to tune, sure, but using the known percentage of anomalies to find the threshold is not relevant in a purely unsupervised context when we don't know how many anomalies are in the data).",actionable,suggestion
r10,s5,Do you normalize the features (the output of the dimension reduction and the representation error are quite different)?,actionable,question
r10,s6,Fig. 3a doesn't seem to show that the output is a clear mixture of Gaussians.,actionable,shortcoming
r10,s7,"3. In Fig. 3 when plotting the results for KDDCup, I would have liked to see results for the best 4 methods from Table 1, OC-SVM performs better than PAE.",actionable,suggestion
r10,s8,They are the best in terms of precision.,non_actionable,fact
r10,s9,"Clarity – The paper is very well written with clear statements, a pleasure to read.",non_actionable,agreement
r100,s0,An interesting paper which is marginally above acceptance threshold The authors of the paper propose a framework to generate natural adversarial examples by searching adversaries in a latent space of dense and continuous data representation (instead of in the original input data space).,non_actionable,agreement
r100,s1,"The details of their proposed method are covered in Algorithm 1 on Page 12, where an additional GAN (generative adversarial network) I_{\gamma}, which can be regarded as the inverse function of the original GAN G_{\theta}, is trained to learn a map from the original input data space to the latent z-space.",non_actionable,fact
r100,s2,The intuition of the proposed approach is clearly explained and it seems very reasonable to me.,non_actionable,agreement
r100,s3,"My main concern, however, is in the current sampling-based search algorithm in the latent z-space, which the authors have already admitted in the paper.",non_actionable,shortcoming
r100,s4,The efficiency of such a search method decreases very fast when the dimensions of the z-space increases.,non_actionable,fact
r100,s5,Another concern is that the authors have not provided sufficient number of examples to show the advantages of their proposed method over the other method (such as FGSM) in generating the adversaries.,actionable,shortcoming
r100,s6,Could you explicitly specify the dimension of the latent z-space in each example in image and text domain in Section 3?,actionable,question
r100,s7,"In Tables 7 and 8, the human beings agree with the LeNet in >= 58% of cases.",non_actionable,fact
r100,s8,Could you still say that your generated “adversaries” leading to the wrong decision from LeNet?,actionable,question
r100,s9,How do you choose the parameter \lambda in Equation (2)?,actionable,question
r101,s0,"In this work, the authors suggest the use of control variate schemes for estimating gradient values, within a reinforcement learning  framework.",non_actionable,fact
r101,s1,The authors also introduce a specific control variate technique based on the so-called Stein’s identity.,non_actionable,fact
r101,s2,The paper is interesting and well-written.,non_actionable,agreement
r101,s3,- I believe that different Monte Carlo (or Quasi-Monte Carlo) strategies can be applied in order to estimate the integral (expected value) in Eq.,actionable,fact
r101,s4,"(1), as also suggested in this work.",non_actionable,fact
r101,s5,"Please, please discuss and cite some papers if required.",actionable,suggestion
r101,s6,- I suggest to divide Section 3.1 in two subsections.,actionable,suggestion
r101,s7,"-  Please also discuss the relationships, connections, and possible applications of your technique to other algorithms used in Bayesian optimization, active learning and/or sequential learning, for instance as M. U. Gutmann and J. Corander, “Bayesian optimization for likelihood-free inference of simulator-based statistical mod- els,” Journal of Machine Learning Research, vol.",actionable,suggestion
r101,s8,"G. da Silva Ferreira and D. Gamerman, “Optimal design in geostatistics under preferential sampling,” Bayesian Analysis, vol.",non_actionable,suggestion
r101,s9,"L. Martino, J. Vicent, G. Camps-Valls, ""Automatic Emulator and Optimized Look-up Table Generation for Radiative Transfer Models"", IEEE International Geoscience and Remote Sensing Symposium (IGARSS), 2017.",non_actionable,suggestion
r102,s0,"1.  The paper misses some more recent reference, e.g. [a,b].",actionable,suggestion
r102,s1,"2. Indeed, AlexNet is a good seedbed to test binary methods.",non_actionable,agreement
r102,s2,"So, I wish to see a section on testing with Resnet and GoogleNet.",actionable,suggestion
r102,s3,"Indeed, the authors have commented: ""AlexNet with batch-normalization (AlexNet-BN) is the standard model ... acceptance that improvements made to accuracy transfer well to more modern architectures.""",non_actionable,fact
r102,s4,3. The paper wants to find a good trade-off on speed and accuracy.,non_actionable,fact
r102,s5,"The authors have plotted such trade-off on space v.s. accuracy in Figure 3(b), then how about speed v.s. accuracy?",actionable,question
r102,s6,My concern is that one-bit system is already complicated to implement.,non_actionable,shortcoming
r102,s7,"Indeed, the authors have discussed their implementation in Section 3.3, so, how their method works in practice?",actionable,question
r102,s8,4. Is trade-off between 1 to 2 bits really important?,actionable,question
r102,s9,"Compared with 2bits or ternary network, the proposed method at most achieving (1.4/2) compression ratio and (2/1.4) speedup (based on their Table 1).",non_actionable,fact
r103,s0,Recognizing and Updating NE Embeddings on the Fly The paper proposes to generate embedding of named-entities on the fly during dialogue sessions.,non_actionable,fact
r103,s1,"If the text is from the user, a named entity recognizer is used.",non_actionable,fact
r103,s2,"If it is from the bot response, then it is known which words are named entities therefore embedding can be constructed directly.",non_actionable,fact
r103,s3,The idea has some novelty and the results on several tasks attempting to prove its effectiveness against systems that handle named entities in a static way.,non_actionable,fact
r103,s4,One thing I hope the author could provide more clarification is the use of NER.,actionable,suggestion
r103,s5,"To my understanding, because of the presence of the NER in the With-NE-Table model, you could directly do update to the NE embeddings and query from the DB using a combination of embedding and the NE words (as the paper does), whereas the W/O-NE-Table model cannot because of lack of the NER.",non_actionable,fact
r103,s6,"This seems to prove that an NER is useful for tasks where DB queries are needed, rather than that the dynamic NE-Table construction is useful.",non_actionable,fact
r103,s7,"You could use an NER for W/O-NE-Table and update the NE embeddings, and it should be as good as With-NE-Table model (and fairer to compare with too).",actionable,suggestion
r103,s8,"That said, overall the paper is a nice contribution to dialogue and QA system research by pointing out a simple way of handling named entities by dynamically updating their embeddings.",non_actionable,agreement
r103,s9,"It would be better if the paper could point out the importance of NER for user utterances, and the fact that using the knowledge of which words are NEs in dialogue models could help in tasks where DB queries are necessary.",actionable,suggestion
r104,s0,"Standard idea, great results This paper borrows the classic idea of spectral regularization, recently applied to deep learning by Yoshida and Miyato (2017) and use it to normalize GAN objectives.",non_actionable,agreement
r104,s1,This Lipschitz property has already been proposed by recent methods and has showed some success.,non_actionable,fact
r104,s2,"However,  the authors here argue that spectral normalization is more powerful; it allows for models of higher rank (more non-zero singular values) which implies a more powerful discriminator and eventually more accurate generator.",non_actionable,fact
r104,s3,This is demonstrated in comparison to weight normalization in Figure 4.,non_actionable,fact
r104,s4,The experimental results are very good and give strong support for the proposed normalization.,non_actionable,agreement
r104,s5,"The paper is overall well written (though check Comment 3 below), it covers the related work well and it includes an insightful discussion about the importance of high rank models.",non_actionable,agreement
r104,s6,"I am recommending acceptance, though I anticipate to see a more rounded evaluation of the exact mechanism under which SN improves over the state of the art.",non_actionable,agreement
r104,s7,"I found the discussion about rank to be very intuitive, however this intuition is not fully tested.",actionable,shortcoming
r104,s8,I would like to see the same spectra included.,actionable,suggestion
r104,s9,Do you get comparable inception scores?,actionable,question
r105,s0,It then argues that speeding up the activation function may be important since the convolution operations in CNNs are becoming heavily optimized and may form a lesser fraction of the overall computation.,non_actionable,fact
r105,s1,The ISRLU is then reported to be 2.6x faster compared to ELU using AVX2 instructions.,non_actionable,fact
r105,s2,Preliminary experimental results are reported which demonstrate that ISRLU can perform similar to ELU.,non_actionable,fact
r105,s3,"However, on one hand the contribution is rather narrow, and on the other the results presented do not clearly show that the contribution is of significance in practice.",actionable,shortcoming
r105,s4,b) and what is the percentage of cycles saved by employing the ISRLU.,actionable,question
r105,s5,"The presented results using small networks on the MNIST dataset only show that networks with ISRLU can perform similar to those with other activation functions, but not the speed advantages of ISRLU.",actionable,shortcoming
r105,s6,The effect of using the faster approximation on performance also remains to be investigated.,actionable,shortcoming
r105,s7,Clarity: The content of the paper is unclear in certain areas.,actionable,shortcoming
r105,s8,- It is not clear what Table 2 is showing.,actionable,shortcoming
r105,s9,- Why is the final Cross-Entropy Loss so high even though the accuracy is >99% for the MNIST experiments?,actionable,question
r106,s0,Review (Summary) This paper is about learning discriminative features for the target domain in unsupervised DA problem.,non_actionable,fact
r106,s1,The key idea is to use a critic which randomly drops the activations in the logit and maximizes the sensitivity between two versions of discriminators.,non_actionable,fact
r106,s2,The approach proposed in section 3.2 uses dropout logits and the sensitivity criterion between two softmax probability distributions which seems novel.,non_actionable,fact
r106,s3,"1) Unsupervised Pixel-Level Domain Adaptation with Generative Adversarial Networks, Bousmalis et al.",non_actionable,fact
r106,s4,Does the proposed method outperform these state of the art methods using the same network architectures?,actionable,question
r106,s5,"For example, in eqns 2,3,5, the minimization is over G,C but G,C do not appear anywhere in the equation.",actionable,shortcoming
r106,s6,"4. It's not clear what exactly the ""ENT"" baseline is.",actionable,shortcoming
r106,s7,"The text says ""(ENT) obtained by modifying (Springenberg 2015)"".",non_actionable,fact
r106,s8,I'd encourage the authors to make this part more explicit and self-explanatory.,actionable,suggestion
r106,s9,The method section is not very well written and the authors avoid comparing the method against the state of the art methods in unsupervised DA.,actionable,shortcoming
r107,s0,"Given the recent interest in (deep) reinforcement learning (combined with the lack of theoretical guarantees in this space), this is a very timely problem to study.",non_actionable,agreement
r107,s1,The proposed approach leverages recent work that gives a novel parametrization of control problems in the LDS setting.,non_actionable,fact
r107,s2,The time and sample complexities of this approach are polynomial in all relevant parameters.,non_actionable,fact
r107,s3,The authors also highlight that their sample complexity depends only logarithmically on the time horizon T. The paper focuses on the theoretical results and does not present experiments (the polynomials are also not elaborated further).,actionable,shortcoming
r107,s4,"However, I am not sure if the paper is a good fit for ICLR since it is purely theoretical in nature and has no experiments.",non_actionable,shortcoming
r107,s5,It would be helpful if the authors could comment on the dependence between T and L. (B) Why does the bound in Theorem 2.4 become worse when there are some directions that do not contribute to the cost (the lambda dependence)?,actionable,suggestion
r107,s6,It would enhance readability of the paper if the results were more self-contained.,actionable,suggestion
r107,s7,Their abstract also claims to utilize a convex programming formulation.,non_actionable,fact
r107,s8,(9) Lemma 3.2: Is \hat{D} defined in the paper?,actionable,question
r107,s9,"I assume that it involves \hat{M}, but it would be good to formally define this notation.",actionable,suggestion
r108,s0,"In this paper, the authors propose deep architecture that preserves mutual information between the input and the hidden representation and show that the loss of information can only occur at the final layer.",non_actionable,fact
r108,s1,They illustrate empirically that the loss of information can be avoided on large-scale classification such as ImageNet and propose to build an invertible deep network that is capable of retaining the information of the input signal through all the layers of the network until the last layer where the input could be reconstructed.,non_actionable,fact
r108,s2,"As it requires a special care to design an invertible architecture, the authors architecture is based on the recent reversible residual network (RevNet) introduced in (Gomez et al., 2017) and an invertible down-sampling operator introduced in (Shi et al., 2016).",non_actionable,fact
r108,s3,The obtained result is competitive with the original Resnet and the RevNet models.,non_actionable,fact
r108,s4,"Still, the classification and the reconstructing results are quite impressive as the work is the first empirical evidence that learning invertible representation that preserves information about the input is possible on large-scale classification tasks.",non_actionable,agreement
r108,s5,The submitted paper shows that this principle is not a necessary condition large-scale classification.,non_actionable,fact
r108,s6,It is also simple and easy to understand.,non_actionable,agreement
r108,s7,The spectral analysis of the differential operator in section 4.1 provide another motivation for the “hard-constrained” invertible architecture.,non_actionable,fact
r108,s8,"Section 5 shows that even when using either an SVM or a Nearest Neighbor classifier on n extracted features from a layer in the network, both classifiers progressively improve with deeper layers.",non_actionable,fact
r108,s9,"Indeed, the authors have succeed in showing that this is not necessarily the case.",non_actionable,agreement
r109,s0,"In particular, when node2vec has its restart probability set pretty high, the random walks tend to stay within the local neighborhood (near the starting node).",non_actionable,fact
r109,s1,The main difference is in the sentence construction strategy.,non_actionable,fact
r109,s2,"Whereas node2vec may sample walks that have context windows containing the same node, the proposed method does not as it uses a random permutation of a node's neighbors.",non_actionable,fact
r109,s3,This is the main difference between the proposed method and node2vec/DeepWalk.,non_actionable,fact
r109,s4,Proposes a simple yet effective way to sample walks from large graphs.,non_actionable,agreement
r109,s5,Cons: The description on the experimental setup seems to lack some important details.,actionable,shortcoming
r109,s6,See more detailed comments in the paragraph below.,non_actionable,other
r109,s7,"While LINE or SDNE, which the authors cite, may not run on some of the larger datasets they can be tested on the smaller datasets.",actionable,fact
r109,s8,"For instance, on page 5 footnote 4 the authors state that DeepWalk and node2vec are tested under similar conditions but do not elaborate.",actionable,shortcoming
r109,s9,For instance a sentence of length 10 with context window 5 gives 6 contexts.,non_actionable,fact
r11,s0,It lacks a few references and important technical aspects are not discussed.,actionable,shortcoming
r11,s1,"Overall, the contribution is modest at best.",non_actionable,fact
r11,s2,"** DETAILED REVIEW ** On mistakes, it is wrong to say that an SVM is a parameterless classifier.",actionable,shortcoming
r11,s3,I think slack variables come from (Cortes et al 95).,non_actionable,fact
r11,s4,Could you explain how classes are predicted given a test problem?,actionable,question
r11,s5,What are the class you are interested in?,actionable,question
r11,s6,since you mention at the end of page 4 that you will only rely on linear SVMs for computational reasons.,non_actionable,fact
r11,s7,"You need to find a better justification for using L2-SVM than ""L2-SVM loss variant is considered to be the best by the author of the paper"", did you try classical SVM and found them performing worse?",actionable,suggestion
r11,s8,"On empirical evaluation, I already mentioned that it impossible to understand what the classification problem on TIMIT is. I suspect it might be speaker identification.",actionable,shortcoming
r11,s9,"Also, most work typically use omniglot as a proof of concept and consider mini-imagenet as a more challenging set.",non_actionable,fact
r110,s0,review: experiments insufficient This paper proposes a neural network architecture around the idea of layered scene composition.,non_actionable,shortcoming
r110,s1,"An encoder is later trained to map real images into the space of latent codes for the generator, allowing the system to be applied to real image segmentation tasks.",non_actionable,fact
r110,s2,"Visualization of learned layers for several scene types (Figures 3, 7) shows that the network does learn a reasonable compositional scene model.",non_actionable,fact
r110,s3,"Experiments evaluate the ability to port the model learned in an unsupervised manner to semantic segmentation tasks, using a limited amount of supervision for the end task.",non_actionable,fact
r110,s4,"Only two scene types (bedroom, kitchen) and four object classes (bed, window, appliance, counter) are used for evaluation.",non_actionable,shortcoming
r110,s5,This is far below the norm for semantic segmentation work in computer vision.,actionable,shortcoming
r110,s6,"Even the ADE20K dataset, from which this paper samples, is substantially larger and has an established benchmarking methodology (see http://placeschallenge.csail.mit.edu/).",non_actionable,fact
r110,s7,An additional problem is that performance is not compared to any external prior work.,actionable,shortcoming
r110,s8,"Only simple baselines (eg autoencoder, kmeans) implemented by this paper are included.",actionable,shortcoming
r110,s9,"In summary, the proposed method may be promising, but far more experiments are needed.",actionable,suggestion
r111,s0,LatentPoison -- Adversarial Attacks On The Latent Space The idea is clearly stated (but lacks some details) and I enjoyed reading the paper.,actionable,agreement
r111,s1,I understand the difference between [Kos+17] and the proposed scheme but I could not understand in which situation the proposed scheme works better.,actionable,shortcoming
r111,s2,"From the adversary's standpoint, it would be easier to manipulate inputs than latent variables.",actionable,suggestion
r111,s3,"On the other hand, I agree that sample-independent perturbation is much more practical than sample-dependent perturbation.",non_actionable,agreement
r111,s4,"In Section 3.1, the attack methods #2 and #3 should be detailed more.",actionable,suggestion
r111,s5,I could not imagine how VAE and T are trained simultaneously.,actionable,fact
r111,s6,"In Section 3.2, the authors listed a couple of loss functions.",non_actionable,fact
r111,s7,The final optimization problem that is used for training of the propose VAE should be formally defined.,actionable,suggestion
r111,s8,"Also, the detailed specification of the VAE should be detailed.",actionable,suggestion
r111,s9,"Also, can you experimentally show that attacks on latent variables are more powerful than attacks on inputs?",actionable,question
r112,s0,A promising approach on nonparametric modelling of partial differential equations with deep architectures that requires more details.,non_actionable,shortcoming
r112,s1,This paper addresses complex dynamical systems modelling through nonparametric Partial Differential Equations using neural architectures.,non_actionable,fact
r112,s2,The most important idea of the papier (PDE-net) is to learn both differential operators and the function that governs the PDE.,non_actionable,fact
r112,s3,"To achieve this goal, the approach relies on the approximation of differential operators by convolution of filters of appropriate order.",non_actionable,fact
r112,s4,This is really the strongest point of the paper.,non_actionable,agreement
r112,s5,"Moreover, a basic system called delta t block implements one level of full approximation and is stoked several times.",non_actionable,fact
r112,s6,"Comments: The paper is badly structured and is sometimes hard to read because it does not present in a linear way the classic ingredients of Machine Learning, expression of the full function to be estimated, equations of each layer, description of the set of parameters to be learned and the loss function.",actionable,shortcoming
r112,s7,"About the loss function, I was surprised not to see a sparsity constraint on the different filters in order to select the order of the differential operators themselves.",actionable,shortcoming
r112,s8,I also found difficult to measure the degree of novelty of the approach considering the recent works and  the related work section should have been much more precise in terms of comparison.,actionable,shortcoming
r112,s9,"Finally, I’ve found the paper very interesting and promising but regarding the standard of scientific publication, it requires additional attention to provide a better description the model and discuss the learning scheme to get a strongest and reproducible approach.",actionable,suggestion
r113,s0,"Lack of convincing motivation and results not particularly unimpressive This paper proposes to train a classifier neural network not just to classifier, but also to reconstruct a representation of its input, in order to factorize the class information from the appearance (or ""style"" as used in this paper).",non_actionable,shortcoming
r113,s1,This is done by first using unsupervised pretraining and then fine-tuning using a weighted combination of the regular multinomial NLL loss and a reconstruction loss at the last hidden layer.,non_actionable,fact
r113,s2,Experiments on MNIST are provided to analyse what this approach learns.,non_actionable,fact
r113,s3,Why is it important to separate class from style?,actionable,question
r113,s4,I don't find the reconstructions demonstrated particularly compelling (they are generally pretty different from the original input).,actionable,shortcoming
r113,s5,"Also, that the ""style"" representation contain less (and I'd say slightly less, in Figure 7 b and d, we still see a lot of same class nearest neighbors) is not exactly a surprising result.",non_actionable,shortcoming
r113,s6,"And the results of figure 9, showing poor reconstructions when changing the class representation essentially demonstrates that the method isn't able to factorize class and style successfully.",non_actionable,shortcoming
r113,s7,"The interpolation results of Figure 11 are also underwhelming, though possibly mostly because the reconstructions are in general not great.",non_actionable,shortcoming
r113,s8,"But most importantly, none of these results are measured in a quantitative way: they are all qualitative, and thus subjective.",non_actionable,shortcoming
r113,s9,"For all these reasons, I'm afraid I must recommend this paper be rejected.",non_actionable,fact
r114,s0,The manuscript mainly presents a cheap pruning algorithm for dense layers of DNNs.,non_actionable,fact
r114,s1,"It reformulates the non-convex optimization problem in (Aghasi et al., 2016) as a difference of convex (DC) problem, which can be solved quite efficiently using the DCA algorithm (Tao and An, 1997).",non_actionable,fact
r114,s2,"The contribution is valuable since the complexity is significantly reduced, but there are many syntax errors and the accuracy of the model is not satisfactory.",actionable,shortcoming
r114,s3,The manuscript mainly presents a cheap pruning algorithm for dense layers of DNNs.,non_actionable,fact
r114,s4,"The proposed algorithm is an improvement of Net-Trim (Aghasi et al., 2016), which is to enforce the weights to be sparse.",non_actionable,fact
r114,s5,"The complexity of the proposed algorithm is much lower than Net-Trim and its fast version LOBS (Dong et al., 2017).",non_actionable,fact
r114,s6,"The authors also analyze the generalization error bound of DNN after pruning based on the work of (Sokolic et al., 2017).",non_actionable,fact
r114,s7,"Although the main idea is clearly presented, there are many syntax errors and I suggest the authors carefully checking the manuscript.",actionable,suggestion
r114,s8,"1.	There are many syntax errors, e.g., “Closer to our approach recently in Aghasi et al. (2016) the authors”, “an cheap pruning algorithm”, etc.",actionable,shortcoming
r114,s9,"For example, the accuracy drops from 95.2% to 91% compared with Net-Trim in the LeNet-5 model and from 80.5% to 74.6% compared with LOBS in the CifarNet model.",actionable,shortcoming
r115,s0,Interesting experiments but lack of model description The authors propose to use a byte level RNN to classify reviews.,actionable,shortcoming
r115,s1,"In the meantime, they learn to generate reviews.",non_actionable,fact
r115,s2,They apply this architecture on the same task as the original article: document classification; they use a logistic regression on the extracted representation.,non_actionable,fact
r115,s3,The authors propose an evaluation on classical datasets and compare themselves to the state of the art.,non_actionable,fact
r115,s4,A deeper analyze shows that this neuron is more efficient on small datasets than on larger.,non_actionable,fact
r115,s5,"Exploiting the generative capacity of the network, they play with the ""sentiment neuron"" to deform a review.",non_actionable,fact
r115,s6,The authors do not propose an original model and they do not describe the used model inside this publication.,actionable,shortcoming
r115,s7,"Nor the model neither the optimized criterion is detailled: the authors present some curve mentioning ""bits per character"" but we do not know what is measured.",actionable,shortcoming
r115,s8,Figure 2 is very interesting: it is a very relevant way to compare authors model with the literature.,non_actionable,agreement
r115,s9,"However, according to me, the fact that it provides no model description, no model analysis, no modification of the model to improve the sentiment discovery, prevents this article from being publicized at ICLR.",actionable,shortcoming
r116,s0,Good basic idea with several weaknesses in the technical exposition and the experiments This is a paper about learning vector representations for the nodes of a graph.,non_actionable,fact
r116,s1,"To me, the comparison makes sense but it also shows that the ideas presented here are less novel than they might initially seem.",non_actionable,fact
r116,s2,The proposed method introduces two forms of (simple) attention.,non_actionable,fact
r116,s3,Nothing groundbreaking here but still interesting enough and well explained.,non_actionable,agreement
r116,s4,Please take a look at the comment by Fabian Jansen.,actionable,suggestion
r116,s5,"First, you don't report results on Pubmed because your method didn't scale.",actionable,shortcoming
r116,s6,"We have to, however, evaluate the approach on what it is able to do at the moment.",non_actionable,fact
r116,s7,"Second, the experimental set-up on the Cora and Citeseer data sets should be properly randomized.",actionable,suggestion
r116,s8,"As Thomas pointed out, for graph data the variance can be quite high.",non_actionable,fact
r116,s9,In Kipf et al.'s GCN paper this is what was done (not over 100 splits as some other commenter claimed. The average over 100 runs  pertained to the ICA method only.),non_actionable,fact
r117,s0,"Neumann Optimizer: A Practical Optimization Algorithm for Deep Neural Networks Summary: The paper proposes Neumman optimizer, which makes some adjustments to the idealized Neumman algorithm to improve performance and stability in training.",non_actionable,fact
r117,s1,"The paper also provides the effectiveness of the algorithm by training ImageNet models (Inception-V3, Resnet-50, Resnet-101, and Inception-Resnet-V2).",non_actionable,fact
r117,s2,Comments: I really appreciate the author(s) by providing experiments using real models on the ImageNet dataset.,non_actionable,agreement
r117,s3,The algorithm seems to be easily used in practice.,non_actionable,agreement
r117,s4,"I understand that you are trying to improve the existing results with their optimizer, but this paper also introduces new algorithm.",non_actionable,agreement
r117,s5,"The question is that, with the given architectures and dataset, what algorithm should people consider to use between Neumann optimizer and Adam?",actionable,question
r117,s6,"Why should people use Neumann optimizer but not Adam, which is already very well-known?",actionable,question
r117,s7,"If Neumann optimizer can surpass Adam on ImageNet, I think your algorithm will be widely used after being published.",non_actionable,fact
r117,s8,"Minor comments: Page 3, in eq.",non_actionable,other
r117,s9,"(3): missing “-“ sign Page 3, in eq. (6): missing “transpose” on \nabla \hat{f} Page 4, first equation: O(|| \eta*mu_t ||^2) Page 5, in eq.",actionable,shortcoming
r118,s0,"An interesting paper, but not the clearest presentation.",actionable,shortcoming
r118,s1,Additional regularization terms are also added to encourage the model to encode longer term dependencies in its latent distributions.,non_actionable,fact
r118,s2,My first concern with this paper is that the derivation in Eq.,actionable,shortcoming
r118,s3,There is a p(z_1:T) term that should appear in the integrand.,actionable,suggestion
r118,s4,It is not clear to me why h_t should depend on \tilde{b}_t.,actionable,shortcoming
r118,s5,"It may add capacity to the decoder in the form of extra weights, but the same could be achieved by making z_t larger.",actionable,suggestion
r118,s6,In the no reconstruction loss experiments do you still sample \tilde{b}_t in the generative part?,actionable,question
r118,s7,It seems the Blizzard results in Figure 2 are missing no reconstruction loss + full backprop.,actionable,shortcoming
r118,s8,Exactly which gradients are you skipping at random?,actionable,question
r118,s9,Do you have any intuition for why it is sometimes necessary to set beta=0?,actionable,question
r119,s0,"The basic idea is to use a multi-step dynamics model as a ""baseline"" (more properly a control variate, as the terminology in the paper uses, but I think baselines are more familiar to the RL community) to reduce the variance of a policy gradient estimator, while remaining unbiased.",non_actionable,fact
r119,s1,"The authors also discuss how to best learn the type of multi-step dynamics that are well-suited to this problem (essentially, using off-policy data via importance weighting), and they demonstrate the effectiveness of the approach on four continuous control tasks.",non_actionable,fact
r119,s2,"This paper presents a nice idea, and I'm sure that with some polish it will become a very nice conference submission.",actionable,agreement
r119,s3,"In a bit more detail, the key idea of the paper, at least to the extent that I understood it, was that the authors are able to introduce a model-based variance-reduction baseline into the policy gradient term.",non_actionable,fact
r119,s4,"But beyond this, and despite fairly reasonable familiarity with the subject, I simply don't understand other elements that the paper is talking about.",non_actionable,disagreement
r119,s5,"The paper frequently refers to ""embedding"" ""imaginary trajectories"" into the dynamics model, and I still have no idea what this is actually referring to (the definition at the start of section 4 is completely opaque to me).",actionable,shortcoming
r119,s6,"But I also feel that in this case, it borders on being an issue with the paper itself, as I think this idea needs to be described much more clearly if it is central to the underlying paper.",actionable,shortcoming
r119,s7,"Finally, although I do think the extent of the algorithm that I could follow is interesting, the second issue with the paper is that the results are fairly weak as they stand currently.",actionable,shortcoming
r119,s8,"Not that there is anything wrong with short papers, but in this case both the clarity of presentation and details are lacking.",actionable,shortcoming
r119,s9,"I think it will eventually become a good paper, but it is not ready yet.",actionable,fact
r12,s0,"Motivation In this paper, the authors consider the problem of generating a training data set for the neural programmer-interpreter from an executable oracle.",non_actionable,fact
r12,s1,"In particular, they aim at generating a complete set that fully specifies the behavior of the oracle.",non_actionable,fact
r12,s2,The authors propose a technique that achieves this aim by borrowing ideas from programming language and abstract interpretation.,non_actionable,fact
r12,s3,"The technique systematically interacts with the oracle using observations, which are abstractions of environment states, and it is guaranteed to produce a data set that completely specifies the oracle.",non_actionable,fact
r12,s4,The authors later describes how to improve this technique by further equating certain observations and exploring only one in each equivalence class.,non_actionable,fact
r12,s5,Their experiments show that this improve technique can produce complete training sets for three programs.,non_actionable,fact
r12,s6,It is nice to see the application of ideas from different areas for learning-related questions.,non_actionable,agreement
